Network	Generation	Smiles
FormoseAmm	G4	C(C(C(C(C)N)O)N)=O
FormoseAmm	G4	C(C(C(C(C)N)O)O)(CCO)=O
FormoseAmm	G4	C(C(C(C(C)N)O)O)=O
FormoseAmm	G4	C(C(C(C(C)O)C(CN)O)=O)=O
FormoseAmm	G4	C(C(C(C(C)O)N)N)=O
FormoseAmm	G4	C(C(C(C(C)O)N)NC)=O
FormoseAmm	G4	C(C(C(C(C)O)O)N)=O
FormoseAmm	G4	C(C(C(C(C)O)O)NC)=O
FormoseAmm	G4	C(C(C(C(C=O)=O)CO)O)=CN
FormoseAmm	G4	C(C(C(C(C=O)N)O)C(C)O)=O
FormoseAmm	G4	C(C(C(C(C=O)O)N)N)=O
FormoseAmm	G4	C(C(C(C(C=O)O)N)NC)=O
FormoseAmm	G4	C(C(C(C(C=O)O)O)C(C)O)=O
FormoseAmm	G4	C(C(C(C(C=O)O)O)N)=O
FormoseAmm	G4	C(C(C(C(C=O)O)O)NC)=O
FormoseAmm	G4	C(C(C(C(CC(C)O)=O)O)N)=O
FormoseAmm	G4	C(C(C(C(CCN)=O)O)N)=O
FormoseAmm	G4	C(C(C(C(CCN)=O)O)O)(C)=O
FormoseAmm	G4	C(C(C(C(CCN)O)N)O)N
FormoseAmm	G4	C(C(C(C(CCN)O)N)O)O
FormoseAmm	G4	C(C(C(C(CCN)O)O)N)=O
FormoseAmm	G4	C(C(C(C(CCN)O)O)N)O
FormoseAmm	G4	C(C(C(C(CCN)O)O)O)=O
FormoseAmm	G4	C(C(C(C(CCN)O)O)O)N
FormoseAmm	G4	C(C(C(C(CCN)O)O)O)O
FormoseAmm	G4	C(C(C(C(CCO)=O)O)N)(C)=O
FormoseAmm	G4	C(C(C(C(CCO)=O)O)O)(C)=O
FormoseAmm	G4	C(C(C(C(CCO)N)=O)N)=O
FormoseAmm	G4	C(C(C(C(CCO)N)=O)O)=O
FormoseAmm	G4	C(C(C(C(CCO)N)O)N)=O
FormoseAmm	G4	C(C(C(C(CCO)N)O)O)=O
FormoseAmm	G4	C(C(C(C(CCO)O)N)O)O
FormoseAmm	G4	C(C(C(C(CCO)O)O)N)=O
FormoseAmm	G4	C(C(C(C(CCO)O)O)O)=O
FormoseAmm	G4	C(C(C(C(CCO)O)O)O)O
FormoseAmm	G4	C(C(C(C(CN)(CN)O)O)N)O
FormoseAmm	G4	C(C(C(C(CN)(CN)O)O)O)O
FormoseAmm	G4	C(C(C(C(CN)(CO)O)N)N)=O
FormoseAmm	G4	C(C(C(C(CN)(CO)O)O)N)=O
FormoseAmm	G4	C(C(C(C(CN)=O)N)O)=O
FormoseAmm	G4	C(C(C(C(CN)=O)NC)O)=O
FormoseAmm	G4	C(C(C(C(CN)=O)O)N)=O
FormoseAmm	G4	C(C(C(C(CN)N)=O)(C)O)=O
FormoseAmm	G4	C(C(C(C(CN)N)=O)O)=O
FormoseAmm	G4	C(C(C(C(CN)N)N)O)O
FormoseAmm	G4	C(C(C(C(CN)N)O)N)=O
FormoseAmm	G4	C(C(C(C(CN)N)O)N)O
FormoseAmm	G4	C(C(C(C(CN)N)O)O)=O
FormoseAmm	G4	C(C(C(C(CN)N)O)O)N
FormoseAmm	G4	C(C(C(C(CN)NC)=O)O)=O
FormoseAmm	G4	C(C(C(C(CN)O)=O)CN)=O
FormoseAmm	G4	C(C(C(C(CN)O)=O)CO)=O
FormoseAmm	G4	C(C(C(C(CN)O)N)N)=O
FormoseAmm	G4	C(C(C(C(CN)O)N)N)O
FormoseAmm	G4	C(C(C(C(CN)O)N)NC)=O
FormoseAmm	G4	C(C(C(C(CN)O)N)O)=O
FormoseAmm	G4	C(C(C(C(CN)O)N)O)O
FormoseAmm	G4	C(C(C(C(CN)O)NC)N)=O
FormoseAmm	G4	C(C(C(C(CN)O)NC)O)=O
FormoseAmm	G4	C(C(C(C(CN)O)O)N)O
FormoseAmm	G4	C(C(C(C(CN)O)O)NC)=O
